_id,name,teams[0].team_id,teams[1].team_id,teams[2].team_id,teams[3].team_id,teams[0].mp,teams[1].mp,teams[2].mp,teams[3].mp,teams[0].w,teams[1].w,teams[2].w,teams[3].w,teams[0].l,teams[1].l,teams[2].l,teams[3].l,teams[0].d,teams[1].d,teams[2].d,teams[3].d,teams[0].pts,teams[1].pts,teams[2].pts,teams[3].pts,teams[0].gf,teams[1].gf,teams[2].gf,teams[3].gf,teams[0].ga,teams[1].ga,teams[2].ga,teams[3].ga,teams[0].gd,teams[1].gd,teams[2].gd,teams[3].gd,teams[0]._id,teams[1]._id,teams[2]._id,teams[3]._id,createdAt,__v
698715d2428697e30ed53e50,A,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e51,698715d2428697e30ed53e52,698715d2428697e30ed53e53,698715d2428697e30ed53e54,2026-02-07T10:37:06.116Z,0
698715d2428697e30ed53e56,B,5,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e57,698715d2428697e30ed53e58,698715d2428697e30ed53e59,698715d2428697e30ed53e5a,2026-02-07T10:37:06.142Z,0
698715d2428697e30ed53e5c,C,9,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e5d,698715d2428697e30ed53e5e,698715d2428697e30ed53e5f,698715d2428697e30ed53e60,2026-02-07T10:37:06.146Z,0
698715d2428697e30ed53e62,D,13,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e63,698715d2428697e30ed53e64,698715d2428697e30ed53e65,698715d2428697e30ed53e66,2026-02-07T10:37:06.149Z,0
698715d2428697e30ed53e68,E,17,18,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e69,698715d2428697e30ed53e6a,698715d2428697e30ed53e6b,698715d2428697e30ed53e6c,2026-02-07T10:37:06.153Z,0
698715d2428697e30ed53e6e,F,21,22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e6f,698715d2428697e30ed53e70,698715d2428697e30ed53e71,698715d2428697e30ed53e72,2026-02-07T10:37:06.156Z,0
698715d2428697e30ed53e74,G,25,26,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e75,698715d2428697e30ed53e76,698715d2428697e30ed53e77,698715d2428697e30ed53e78,2026-02-07T10:37:06.160Z,0
698715d2428697e30ed53e7a,H,29,30,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e7b,698715d2428697e30ed53e7c,698715d2428697e30ed53e7d,698715d2428697e30ed53e7e,2026-02-07T10:37:06.164Z,0
698715d2428697e30ed53e80,I,33,34,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e81,698715d2428697e30ed53e82,698715d2428697e30ed53e83,698715d2428697e30ed53e84,2026-02-07T10:37:06.167Z,0
698715d2428697e30ed53e86,J,37,38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e87,698715d2428697e30ed53e88,698715d2428697e30ed53e89,698715d2428697e30ed53e8a,2026-02-07T10:37:06.172Z,0
698715d2428697e30ed53e8c,K,41,42,43,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e8d,698715d2428697e30ed53e8e,698715d2428697e30ed53e8f,698715d2428697e30ed53e90,2026-02-07T10:37:06.176Z,0
698715d2428697e30ed53e92,L,45,46,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698715d2428697e30ed53e93,698715d2428697e30ed53e94,698715d2428697e30ed53e95,698715d2428697e30ed53e96,2026-02-07T10:37:06.179Z,0
